medal_date,medal_type,medal_code,name,gender,country,team,discipline,event
2024-08-08,Bronze Medal,3,LAMMERTS Annelous,Female,Netherlands,Individual,Sailing,Women's Kite
2024-08-08,Gold Medal,1,LEONARDO Veddriq,Male,Indonesia,Individual,Sport Climbing,Men's Speed
2024-08-08,Silver Medal,2,WU Peng,Male,China,Individual,Sport Climbing,Men's Speed
2024-08-08,Bronze Medal,3,WATSON Sam,Male,United States,Individual,Sport Climbing,Men's Speed
2024-08-08,Gold Medal,1,RASHITOV Ulugbek,Male,Uzbekistan,Individual,Taekwondo,Men -68kg
2024-08-08,Silver Medal,2,KAREEM Zaid,Male,Jordan,Individual,Taekwondo,Men -68kg
2024-08-08,Bronze Medal,3,LIANG Yushuai,Male,China,Individual,Taekwondo,Men -68kg
2024-08-08,Bronze Medal,3,PONTES Edival,Male,Brazil,Individual,Taekwondo,Men -68kg
2024-08-08,Gold Medal,1,KIM Yujin,Female,Korea,Individual,Taekwondo,Women -57kg
2024-08-08,Silver Medal,2,KIYANICHANDEH Nahid,Female,IR Iran,Individual,Taekwondo,Women -57kg
2024-08-08,Bronze Medal,3,PARK Skylar,Female,Canada,Individual,Taekwondo,Women -57kg
2024-08-08,Bronze Medal,3,KIMIA Alizadeh,Female,Bulgaria,Individual,Taekwondo,Women -57kg
2024-08-08,Gold Medal,1,JUNIANSYAH Rizki,Male,Indonesia,Individual,Weightlifting,Men's 73kg
2024-08-08,Silver Medal,2,WICHUMA Weeraphon,Male,Thailand,Individual,Weightlifting,Men's 73kg
2024-08-08,Bronze Medal,3,ANDREEV Bozhidar Dimitrov,Male,Bulgaria,Individual,Weightlifting,Men's 73kg
2024-08-08,Gold Medal,1,LUO Shifang,Female,China,Individual,Weightlifting,Women's 59kg
2024-08-08,Silver Medal,2,CHARRON Maude,Female,Canada,Individual,Weightlifting,Women's 59kg
2024-08-08,Bronze Medal,3,KUO Hsing-Chun,Female,Chinese Taipei,Individual,Weightlifting,Women's 59kg
2024-08-08,Gold Medal,1,ESMAEILI LEIVESI Saeid,Male,IR Iran,Individual,Wrestling,Men's Greco-Roman 67kg
2024-08-08,Silver Medal,2,NASIBOV Parviz,Male,Ukraine,Individual,Wrestling,Men's Greco-Roman 67kg
2024-08-08,Bronze Medal,3,JAFAROV Hasrat,Male,Azerbaijan,Individual,Wrestling,Men's Greco-Roman 67kg
2024-08-08,Bronze Medal,3,ORTA SANCHEZ Luis Alberto,Male,Cuba,Individual,Wrestling,Men's Greco-Roman 67kg
2024-08-08,Gold Medal,1,NOVIKOV Semen Sergeevich,Male,Bulgaria,Individual,Wrestling,Men's Greco-Roman 87kg
2024-08-08,Silver Medal,2,MOHMADIPIANI Alireza,Male,IR Iran,Individual,Wrestling,Men's Greco-Roman 87kg
2024-08-08,Bronze Medal,3,BELENIUK Zhan,Male,Ukraine,Individual,Wrestling,Men's Greco-Roman 87kg
2024-08-08,Bronze Medal,3,BISULTANOV Turpal Ali,Male,Denmark,Individual,Wrestling,Men's Greco-Roman 87kg
2024-08-08,Gold Medal,1,FUJINAMI Akari,Female,Japan,Individual,Wrestling,Women's Freestyle 53kg
2024-08-08,Silver Medal,2,YEPEZ GUZMAN Lucia Yamileth,Female,Ecuador,Individual,Wrestling,Women's Freestyle 53kg
2024-08-08,Bronze Medal,3,CHOE Hyo Gyong,Female,DPR Korea,Individual,Wrestling,Women's Freestyle 53kg
2024-08-08,Bronze Medal,3,PANG Qianyu,Female,China,Individual,Wrestling,Women's Freestyle 53kg
2024-08-09,Gold Medal,1,BENJAMIN Rai,Male,United States,Individual,Athletics,Men's 400m Hurdles
2024-08-09,Silver Medal,2,WARHOLM Karsten,Male,Norway,Individual,Athletics,Men's 400m Hurdles
2024-08-09,Bronze Medal,3,dos SANTOS Alison,Male,Brazil,Individual,Athletics,Men's 400m Hurdles
2024-08-09,Gold Medal,1,DIAZ FORTUN Jordan Alejandro,Male,Spain,Individual,Athletics,Men's Triple Jump
2024-08-09,Silver Medal,2,PICHARDO Pedro,Male,Portugal,Individual,Athletics,Men's Triple Jump
2024-08-09,Bronze Medal,3,DIAZ HERNANDEZ Andy,Male,Italy,Individual,Athletics,Men's Triple Jump
2024-08-09,Gold Medal,1,CHEBET Beatrice,Female,Kenya,Individual,Athletics,"Women's 10,000m"
2024-08-09,Silver Medal,2,BATTOCLETTI Nadia,Female,Italy,Individual,Athletics,"Women's 10,000m"
2024-08-09,Bronze Medal,3,HASSAN Sifan,Female,Netherlands,Individual,Athletics,"Women's 10,000m"
2024-08-09,Gold Medal,1,PAULINO Marileidy,Female,Dominican Republic,Individual,Athletics,Women's 400m
2024-08-09,Silver Medal,2,NASER Salwa Eid,Female,Bahrain,Individual,Athletics,Women's 400m
2024-08-09,Bronze Medal,3,KACZMAREK Natalia,Female,Poland,Individual,Athletics,Women's 400m
2024-08-09,Gold Medal,1,OGUNLEYE Yemisi,Female,Germany,Individual,Athletics,Women's Shot Put
2024-08-09,Silver Medal,2,WESCHE Maddison-Lee,Female,New Zealand,Individual,Athletics,Women's Shot Put
2024-08-09,Bronze Medal,3,SONG Jiayuan,Female,China,Individual,Athletics,Women's Shot Put
2024-08-09,Gold Medal,1,MUYDINKHUJAEV Asadkhuja,Male,Uzbekistan,Individual,Boxing,Men's 71kg
2024-08-09,Silver Medal,2,VERDE ALVAREZ Marco Alonso,Male,Mexico,Individual,Boxing,Men's 71kg
2024-08-09,Gold Medal,1,MULLOJONOV Lazizbek,Male,Uzbekistan,Individual,Boxing,Men's 92kg
2024-08-09,Silver Medal,2,ALFONSO DOMINGUEZ Loren Berto,Male,Azerbaijan,Individual,Boxing,Men's 92kg
2024-08-09,Gold Medal,1,WU Yu,Female,China,Individual,Boxing,Women's 50kg
2024-08-09,Silver Medal,2,CAKIROGLU Buse Naz,Female,Türkiye,Individual,Boxing,Women's 50kg
2024-08-09,Gold Medal,1,KHELIF Imane,Female,Algeria,Individual,Boxing,Women's 66kg
2024-08-09,Silver Medal,2,YANG Liu,Female,China,Individual,Boxing,Women's 66kg
2024-08-09,Gold Medal,1,AMI,Female,Japan,Individual,Breaking,B-Girls
2024-08-09,Silver Medal,2,NICKA,Female,Lithuania,Individual,Breaking,B-Girls
2024-08-09,Bronze Medal,3,671,Female,China,Individual,Breaking,B-Girls
2024-08-09,Gold Medal,1,FUKSA Martin,Male,Czechia,Individual,Canoe Sprint,Men's Canoe Single 1000m
2024-08-09,Silver Medal,2,QUEIROZ Isaquias,Male,Brazil,Individual,Canoe Sprint,Men's Canoe Single 1000m
2024-08-09,Bronze Medal,3,TARNOVSCHI Serghei,Male,Republic of Moldova,Individual,Canoe Sprint,Men's Canoe Single 1000m
2024-08-09,Gold Medal,1,Unknown,Unknown,Unknown,Individual,Canoe Sprint,Men's Kayak Double 500m
2024-08-09,Silver Medal,2,Unknown,Unknown,Unknown,Individual,Canoe Sprint,Men's Kayak Double 500m
2024-08-09,Bronze Medal,3,Unknown,Unknown,Unknown,Individual,Canoe Sprint,Men's Kayak Double 500m
2024-08-09,Gold Medal,1,Unknown,Unknown,Unknown,Individual,Canoe Sprint,Women's Canoe Double 500m
2024-08-09,Silver Medal,2,Unknown,Unknown,Unknown,Individual,Canoe Sprint,Women's Canoe Double 500m
2024-08-09,Bronze Medal,3,Unknown,Unknown,Unknown,Individual,Canoe Sprint,Women's Canoe Double 500m
2024-08-09,Gold Medal,1,Unknown,Unknown,Unknown,Individual,Canoe Sprint,Women's Kayak Double 500m
2024-08-09,Silver Medal,2,Unknown,Unknown,Unknown,Individual,Canoe Sprint,Women's Kayak Double 500m
2024-08-09,Bronze Medal,3,Unknown,Unknown,Unknown,Individual,Canoe Sprint,Women's Kayak Double 500m
2024-08-09,Gold Medal,1,LAVREYSEN Harrie,Male,Netherlands,Individual,Cycling Track,Men's Sprint
2024-08-09,Silver Medal,2,RICHARDSON Matthew,Male,Australia,Individual,Cycling Track,Men's Sprint
2024-08-09,Bronze Medal,3,CARLIN Jack,Male,Great Britain,Individual,Cycling Track,Men's Sprint
2024-08-09,Gold Medal,1,CHEN Yiwen,Female,China,Individual,Diving,Women's 3m Springboard
2024-08-09,Silver Medal,2,KEENEY Maddison,Female,Australia,Individual,Diving,Women's 3m Springboard
2024-08-09,Bronze Medal,3,CHANG Yani,Female,China,Individual,Diving,Women's 3m Springboard
2024-08-09,Gold Medal,1,RASOVSZKY Kristof,Male,Hungary,Individual,Marathon Swimming,Men's 10km
2024-08-09,Silver Medal,2,KLEMET Oliver,Male,Germany,Individual,Marathon Swimming,Men's 10km
2024-08-09,Bronze Medal,3,BETLEHEM David,Male,Hungary,Individual,Marathon Swimming,Men's 10km
2024-08-09,Gold Medal,1,BONTUS Valentin,Male,Austria,Individual,Sailing,Men's Kite
2024-08-09,Silver Medal,2,VODISEK Toni,Male,Slovenia,Individual,Sailing,Men's Kite
2024-08-09,Bronze Medal,3,MAEDER Maximilian,Male,Singapore,Individual,Sailing,Men's Kite
2024-08-09,Gold Medal,1,ROBERTS Toby,Male,Great Britain,Individual,Sport Climbing,Men's Boulder & Lead
2024-08-09,Silver Medal,2,ANRAKU Sorato,Male,Japan,Individual,Sport Climbing,Men's Boulder & Lead
2024-08-09,Bronze Medal,3,SCHUBERT Jakob,Male,Austria,Individual,Sport Climbing,Men's Boulder & Lead
2024-08-09,Gold Medal,1,KATOUSSI Firas,Male,Tunisia,Individual,Taekwondo,Men -80kg
2024-08-09,Silver Medal,2,BARKHORDARI Mehran,Male,IR Iran,Individual,Taekwondo,Men -80kg
2024-08-09,Bronze Medal,3,ALESSIO Simone,Male,Italy,Individual,Taekwondo,Men -80kg
2024-08-09,Bronze Medal,3,HRNIC Edi,Male,Denmark,Individual,Taekwondo,Men -80kg
2024-08-09,Gold Medal,1,MARTON Viviana,Female,Hungary,Individual,Taekwondo,Women -67kg
2024-08-09,Silver Medal,2,PERISIC Aleksandra,Female,Serbia,Individual,Taekwondo,Women -67kg
2024-08-09,Bronze Medal,3,TEACHOUT Kristina,Female,United States,Individual,Taekwondo,Women -67kg
2024-08-09,Bronze Medal,3,CHAARI Sarah,Female,Belgium,Individual,Taekwondo,Women -67kg
2024-08-09,Gold Medal,1,NASAR Karlos May,Male,Bulgaria,Individual,Weightlifting,Men's 89kg
2024-08-09,Silver Medal,2,LOPEZ Yeison,Male,Colombia,Individual,Weightlifting,Men's 89kg
2024-08-09,Bronze Medal,3,PIZZOLATO Antonino,Male,Italy,Individual,Weightlifting,Men's 89kg
2024-08-09,Gold Medal,1,REEVES Olivia,Female,United States,Individual,Weightlifting,Women's 71kg
2024-08-09,Silver Medal,2,SANCHEZ Mari Leivis,Female,Colombia,Individual,Weightlifting,Women's 71kg
2024-08-09,Bronze Medal,3,PALACIOS DAJOMES Angie Paola,Female,Ecuador,Individual,Weightlifting,Women's 71kg
2024-08-09,Gold Medal,1,HIGUCHI Rei,Male,Japan,Individual,Wrestling,Men's Freestyle 57kg
2024-08-09,Silver Medal,2,LEE Spencer Richard,Male,United States,Individual,Wrestling,Men's Freestyle 57kg
2024-08-09,Bronze Medal,3,AMAN Aman,Male,India,Individual,Wrestling,Men's Freestyle 57kg
2024-08-09,Bronze Medal,3,ABDULLAEV Gulomjon,Male,Uzbekistan,Individual,Wrestling,Men's Freestyle 57kg
2024-08-09,Gold Medal,1,RAMAZANOV Magomed Eldarovitch,Male,Bulgaria,Individual,Wrestling,Men's Freestyle 86kg
2024-08-09,Silver Medal,2,YAZDANICHARATI Hassan,Male,IR Iran,Individual,Wrestling,Men's Freestyle 86kg
2024-08-09,Bronze Medal,3,BROOKS Aaron Marquel,Male,United States,Individual,Wrestling,Men's Freestyle 86kg
2024-08-09,Bronze Medal,3,KURUGLIEV Dauren,Male,Greece,Individual,Wrestling,Men's Freestyle 86kg
2024-08-09,Gold Medal,1,SAKURAI Tsugumi,Female,Japan,Individual,Wrestling,Women's Freestyle 57kg
2024-08-09,Silver Medal,2,NICHITA Anastasia,Female,Republic of Moldova,Individual,Wrestling,Women's Freestyle 57kg
2024-08-09,Bronze Medal,3,MAROULIS Helen Louise,Female,United States,Individual,Wrestling,Women's Freestyle 57kg
2024-08-09,Bronze Medal,3,HONG Kexin,Female,China,Individual,Wrestling,Women's Freestyle 57kg
2024-08-10,Gold Medal,1,Unknown,Unknown,Unknown,Individual,Artistic Swimming,Duet
2024-08-10,Silver Medal,2,Unknown,Unknown,Unknown,Individual,Artistic Swimming,Duet
2024-08-10,Bronze Medal,3,Unknown,Unknown,Unknown,Individual,Artistic Swimming,Duet
2024-08-10,Gold Medal,1,INGEBRIGTSEN Jakob,Male,Norway,Individual,Athletics,Men's 5000m
2024-08-10,Silver Medal,2,KWEMOI Ronald,Male,Kenya,Individual,Athletics,Men's 5000m
2024-08-10,Bronze Medal,3,FISHER Grant,Male,United States,Individual,Athletics,Men's 5000m
2024-08-10,Gold Medal,1,WANYONYI Emmanuel,Male,Kenya,Individual,Athletics,Men's 800m
2024-08-10,Silver Medal,2,AROP Marco,Male,Canada,Individual,Athletics,Men's 800m
2024-08-10,Bronze Medal,3,SEDJATI Djamel,Male,Algeria,Individual,Athletics,Men's 800m
2024-08-10,Gold Medal,1,KERR Hamish,Male,New Zealand,Individual,Athletics,Men's High Jump
2024-08-10,Silver Medal,2,McEWEN Shelby,Male,United States,Individual,Athletics,Men's High Jump
2024-08-10,Bronze Medal,3,BARSHIM Mutaz Essa,Male,Qatar,Individual,Athletics,Men's High Jump
2024-08-10,Gold Medal,1,TOLA Tamirat,Male,Ethiopia,Individual,Athletics,Men's Marathon
2024-08-10,Silver Medal,2,ABDI Bashir,Male,Belgium,Individual,Athletics,Men's Marathon
2024-08-10,Bronze Medal,3,KIPRUTO Benson,Male,Kenya,Individual,Athletics,Men's Marathon
2024-08-10,Gold Medal,1,RUSSELL Masai,Female,United States,Individual,Athletics,Women's 100m Hurdles
2024-08-10,Silver Medal,2,SAMBA-MAYELA Cyrena,Female,France,Individual,Athletics,Women's 100m Hurdles
2024-08-10,Bronze Medal,3,CAMACHO-QUINN Jasmine,Female,Puerto Rico,Individual,Athletics,Women's 100m Hurdles
2024-08-10,Gold Medal,1,KIPYEGON Faith,Female,Kenya,Individual,Athletics,Women's 1500m
2024-08-10,Silver Medal,2,HULL Jessica,Female,Australia,Individual,Athletics,Women's 1500m
2024-08-10,Bronze Medal,3,BELL Georgia,Female,Great Britain,Individual,Athletics,Women's 1500m
2024-08-10,Gold Medal,1,KITAGUCHI Haruka,Female,Japan,Individual,Athletics,Women's Javelin Throw
2024-08-10,Silver Medal,2,van DYK Jo-Ane,Female,South Africa,Individual,Athletics,Women's Javelin Throw
2024-08-10,Bronze Medal,3,OGRODNIKOVA Nikola,Female,Czechia,Individual,Athletics,Women's Javelin Throw
2024-08-10,Gold Medal,1,JALOLOV Bakhodir,Male,Uzbekistan,Individual,Boxing,Men's +92kg
2024-08-10,Silver Medal,2,GHADFA DRISSI EL AISSAOUI Ayoub,Male,Spain,Individual,Boxing,Men's +92kg
2024-08-10,Gold Medal,1,KHALOKOV Abdumalik,Male,Uzbekistan,Individual,Boxing,Men's 57kg
2024-08-10,Silver Medal,2,SEIITBEK UULU Munarbek,Male,Kyrgyzstan,Individual,Boxing,Men's 57kg
2024-08-10,Gold Medal,1,LIN Yu Ting,Female,Chinese Taipei,Individual,Boxing,Women's 57kg
2024-08-10,Silver Medal,2,SZEREMETA Julia,Female,Poland,Individual,Boxing,Women's 57kg
2024-08-10,Gold Medal,1,LI Qian,Female,China,Individual,Boxing,Women's 75kg
2024-08-10,Silver Medal,2,BYLON Atheyna Bibeichi,Female,Panama,Individual,Boxing,Women's 75kg
2024-08-10,Gold Medal,1,PHIL WIZARD,Male,Canada,Individual,Breaking,B-Boys
2024-08-10,Silver Medal,2,DANY DANN,Male,France,Individual,Breaking,B-Boys
2024-08-10,Bronze Medal,3,VICTOR,Male,United States,Individual,Breaking,B-Boys
2024-08-10,Gold Medal,1,DOSTAL Josef,Male,Czechia,Individual,Canoe Sprint,Men's Kayak Single 1000m
2024-08-10,Silver Medal,2,VARGA Adam,Male,Hungary,Individual,Canoe Sprint,Men's Kayak Single 1000m
2024-08-10,Bronze Medal,3,KOPASZ Balint,Male,Hungary,Individual,Canoe Sprint,Men's Kayak Single 1000m
2024-08-10,Gold Medal,1,VINCENT Katie,Female,Canada,Individual,Canoe Sprint,Women's Canoe Single 200m
2024-08-10,Silver Medal,2,HARRISON Nevin,Female,United States,Individual,Canoe Sprint,Women's Canoe Single 200m
2024-08-10,Bronze Medal,3,CIRILO DUBOYS Yarisleidis,Female,Cuba,Individual,Canoe Sprint,Women's Canoe Single 200m
2024-08-10,Gold Medal,1,CARRINGTON Lisa,Female,New Zealand,Individual,Canoe Sprint,Women's Kayak Single 500m
2024-08-10,Silver Medal,2,CSIPES Tamara,Female,Hungary,Individual,Canoe Sprint,Women's Kayak Single 500m
2024-08-10,Bronze Medal,3,JORGENSEN Emma Aastrand,Female,Denmark,Individual,Canoe Sprint,Women's Kayak Single 500m
2024-08-10,Gold Medal,1,CAO Yuan,Male,China,Individual,Diving,Men's 10m Platform
2024-08-10,Silver Medal,2,TAMAI Rikuto,Male,Japan,Individual,Diving,Men's 10m Platform
2024-08-10,Bronze Medal,3,WILLIAMS Noah,Male,Great Britain,Individual,Diving,Men's 10m Platform
2024-08-10,Gold Medal,1,KO Lydia,Female,New Zealand,Individual,Golf,Women's Individual Stroke Play
2024-08-10,Silver Medal,2,HENSELEIT Esther,Female,Germany,Individual,Golf,Women's Individual Stroke Play
2024-08-10,Bronze Medal,3,LIN Xiyu Janet,Female,China,Individual,Golf,Women's Individual Stroke Play
2024-08-10,Gold Medal,1,ELGENDY Ahmed,Male,Egypt,Individual,Modern Pentathlon,Men's Individual
2024-08-10,Silver Medal,2,SATO Taishu,Male,Japan,Individual,Modern Pentathlon,Men's Individual
2024-08-10,Bronze Medal,3,MALAN Giorgio,Male,Italy,Individual,Modern Pentathlon,Men's Individual
2024-08-10,Gold Medal,1,GARNBRET Janja,Female,Slovenia,Individual,Sport Climbing,Women's Boulder & Lead
2024-08-10,Silver Medal,2,RABOUTOU Brooke,Female,United States,Individual,Sport Climbing,Women's Boulder & Lead
2024-08-10,Bronze Medal,3,PILZ Jessica,Female,Austria,Individual,Sport Climbing,Women's Boulder & Lead
2024-08-10,Gold Medal,1,SALIMI Arian,Male,IR Iran,Individual,Taekwondo,Men +80kg
2024-08-10,Silver Medal,2,CUNNINGHAM Caden,Male,Great Britain,Individual,Taekwondo,Men +80kg
2024-08-10,Bronze Medal,3,ALBA Rafael,Male,Cuba,Individual,Taekwondo,Men +80kg
2024-08-10,Bronze Medal,3,CISSE Cheick Sallah,Male,Côte d'Ivoire,Individual,Taekwondo,Men +80kg
2024-08-10,Gold Medal,1,LAURIN Althea,Female,France,Individual,Taekwondo,Women +67kg
2024-08-10,Silver Medal,2,OSIPOVA Svetlana,Female,Uzbekistan,Individual,Taekwondo,Women +67kg
2024-08-10,Bronze Medal,3,LEE Dabin,Female,Korea,Individual,Taekwondo,Women +67kg
2024-08-10,Bronze Medal,3,KUS AYDIN Nafia,Female,Türkiye,Individual,Taekwondo,Women +67kg
2024-08-10,Gold Medal,1,TALAKHADZE Lasha,Male,Georgia,Individual,Weightlifting,Men's +102kg
2024-08-10,Silver Medal,2,LALAYAN Varazdat,Male,Armenia,Individual,Weightlifting,Men's +102kg
2024-08-10,Bronze Medal,3,MINASYAN Gor,Male,Bahrain,Individual,Weightlifting,Men's +102kg
2024-08-10,Gold Medal,1,LIU Huanhua,Male,China,Individual,Weightlifting,Men's 102kg
2024-08-10,Silver Medal,2,DJURAEV Akbar,Male,Uzbekistan,Individual,Weightlifting,Men's 102kg
2024-08-10,Bronze Medal,3,TSIKHANTSOU Yauheni,Male,AIN,Individual,Weightlifting,Men's 102kg
2024-08-10,Gold Medal,1,KOANDA Solfrid Eila Amena,Female,Norway,Individual,Weightlifting,Women's 81kg
2024-08-10,Silver Medal,2,AHMED Sara,Female,Egypt,Individual,Weightlifting,Women's 81kg
2024-08-10,Bronze Medal,3,DAJOMES BARRERA Neisi Patricia,Female,Ecuador,Individual,Weightlifting,Women's 81kg
2024-08-10,Gold Medal,1,PETRIASHVILI Geno,Male,Georgia,Individual,Wrestling,Men's Freestyle 125kg
2024-08-10,Silver Medal,2,ZARE Amir Hossein,Male,IR Iran,Individual,Wrestling,Men's Freestyle 125kg
2024-08-10,Bronze Medal,3,AKGUL Taha,Male,Türkiye,Individual,Wrestling,Men's Freestyle 125kg
2024-08-10,Bronze Medal,3,MESHVILDISHVILI Giorgi,Male,Azerbaijan,Individual,Wrestling,Men's Freestyle 125kg
2024-08-10,Gold Medal,1,JAMALOV Razambek Salambekovitch,Male,Uzbekistan,Individual,Wrestling,Men's Freestyle 74kg
2024-08-10,Silver Medal,2,TAKATANI Daichi,Male,Japan,Individual,Wrestling,Men's Freestyle 74kg
2024-08-10,Bronze Medal,3,DAKE Kyle Douglas,Male,United States,Individual,Wrestling,Men's Freestyle 74kg
2024-08-10,Bronze Medal,3,VALIEV Chermen,Male,Albania,Individual,Wrestling,Men's Freestyle 74kg
2024-08-10,Gold Medal,1,MOTOKI Sakura,Female,Japan,Individual,Wrestling,Women's Freestyle 62kg
2024-08-10,Silver Medal,2,KOLIADENKO Iryna,Female,Ukraine,Individual,Wrestling,Women's Freestyle 62kg
2024-08-10,Bronze Medal,3,TYNYBEKOVA Aisuluu,Female,Kyrgyzstan,Individual,Wrestling,Women's Freestyle 62kg
2024-08-10,Bronze Medal,3,BULLEN Grace Jacob,Female,Norway,Individual,Wrestling,Women's Freestyle 62kg
2024-08-11,Gold Medal,1,HASSAN Sifan,Female,Netherlands,Individual,Athletics,Women's Marathon
2024-08-11,Silver Medal,2,ASSEFA Tigst,Female,Ethiopia,Individual,Athletics,Women's Marathon
2024-08-11,Bronze Medal,3,OBIRI Hellen,Female,Kenya,Individual,Athletics,Women's Marathon
2024-08-11,Gold Medal,1,LAVREYSEN Harrie,Male,Netherlands,Individual,Cycling Track,Men's Keirin
2024-08-11,Silver Medal,2,RICHARDSON Matthew,Male,Australia,Individual,Cycling Track,Men's Keirin
2024-08-11,Bronze Medal,3,GLAETZER Matthew,Male,Australia,Individual,Cycling Track,Men's Keirin
2024-08-11,Gold Medal,1,VALENTE Jennifer,Female,United States,Individual,Cycling Track,Women's Omnium
2024-08-11,Silver Medal,2,PIKULIK Daria,Female,Poland,Individual,Cycling Track,Women's Omnium
2024-08-11,Bronze Medal,3,WOLLASTON Ally,Female,New Zealand,Individual,Cycling Track,Women's Omnium
2024-08-11,Gold Medal,1,ANDREWS Ellesse,Female,New Zealand,Individual,Cycling Track,Women's Sprint
2024-08-11,Silver Medal,2,FRIEDRICH Lea,Female,Germany,Individual,Cycling Track,Women's Sprint
2024-08-11,Bronze Medal,3,FINUCANE Emma,Female,Great Britain,Individual,Cycling Track,Women's Sprint
2024-08-11,Gold Medal,1,GULYAS Michelle,Female,Hungary,Individual,Modern Pentathlon,Women's Individual
2024-08-11,Silver Medal,2,CLOUVEL Elodie,Female,France,Individual,Modern Pentathlon,Women's Individual
2024-08-11,Bronze Medal,3,SEONG Seungmin,Female,Korea,Individual,Modern Pentathlon,Women's Individual
2024-08-11,Gold Medal,1,LI Wenwen,Female,China,Individual,Weightlifting,Women's +81kg
2024-08-11,Silver Medal,2,PARK Hyejeong,Female,Korea,Individual,Weightlifting,Women's +81kg
2024-08-11,Bronze Medal,3,CAMPBELL Emily,Female,Great Britain,Individual,Weightlifting,Women's +81kg
2024-08-11,Gold Medal,1,KIYOOKA Kotaro,Male,Japan,Individual,Wrestling,Men's Freestyle 65kg
2024-08-11,Silver Medal,2,AMOUZADKHALILI Rahman,Male,IR Iran,Individual,Wrestling,Men's Freestyle 65kg
2024-08-11,Bronze Medal,3,RIVERA Sebastian C,Male,Puerto Rico,Individual,Wrestling,Men's Freestyle 65kg
2024-08-11,Bronze Medal,3,DUDAEV Islam,Male,Albania,Individual,Wrestling,Men's Freestyle 65kg
2024-08-11,Gold Medal,1,TAZHUDINOV Akhmed,Male,Bahrain,Individual,Wrestling,Men's Freestyle 97kg
2024-08-11,Silver Medal,2,MATCHARASHVILI Givi,Male,Georgia,Individual,Wrestling,Men's Freestyle 97kg
2024-08-11,Bronze Medal,3,MAGOMEDOV Magomedkhan,Male,Azerbaijan,Individual,Wrestling,Men's Freestyle 97kg
2024-08-11,Bronze Medal,3,AZARPIRA Amirali,Male,IR Iran,Individual,Wrestling,Men's Freestyle 97kg
2024-08-11,Gold Medal,1,KAGAMI Yuka,Female,Japan,Individual,Wrestling,Women's Freestyle 76kg
2024-08-11,Silver Medal,2,BLADES Kennedy Alexis,Female,United States,Individual,Wrestling,Women's Freestyle 76kg
2024-08-11,Bronze Medal,3,MARIN POTRILLE Milaimy de la Carid,Female,Cuba,Individual,Wrestling,Women's Freestyle 76kg
2024-08-11,Bronze Medal,3,RENTERIA RENTERIA Tatiana,Female,Colombia,Individual,Wrestling,Women's Freestyle 76kg
2024-07-27,Gold Medal,1,CHANG Yani,Female,China,People's Republic of China,Diving,Women's Synchronised 3m Springboard
2024-07-27,Gold Medal,1,CHEN Yiwen,Female,China,People's Republic of China,Diving,Women's Synchronised 3m Springboard
2024-07-27,Silver Medal,2,BACON Sarah,Female,United States,United States of America,Diving,Women's Synchronised 3m Springboard
2024-07-27,Silver Medal,2,COOK Kassidy,Female,United States,United States of America,Diving,Women's Synchronised 3m Springboard
2024-07-27,Bronze Medal,3,HARPER Yasmin,Female,Great Britain,Great Britain,Diving,Women's Synchronised 3m Springboard
2024-07-27,Bronze Medal,3,MEW JENSEN Scarlett,Female,Great Britain,Great Britain,Diving,Women's Synchronised 3m Springboard
2024-07-27,Gold Medal,1,PASQUET Varian,Male,France,France,Rugby Sevens,Men
2024-07-27,Gold Medal,1,TIMO Andy,Male,France,France,Rugby Sevens,Men
2024-07-27,Gold Medal,1,REBBADJ Rayan,Male,France,France,Rugby Sevens,Men
2024-07-27,Gold Medal,1,FORNER Theo,Male,France,France,Rugby Sevens,Men
2024-07-27,Gold Medal,1,PAREZ EDO MARTIN Stephen,Male,France,France,Rugby Sevens,Men
2024-07-27,Gold Medal,1,RIVA Paulin,Male,France,France,Rugby Sevens,Men
2024-07-27,Gold Medal,1,JOSEPH Jefferson-Lee,Male,France,France,Rugby Sevens,Men
2024-07-27,Gold Medal,1,ZEGHDAR Antoine,Male,France,France,Rugby Sevens,Men
2024-07-27,Gold Medal,1,GRANDIDIER NKANANG Aaron,Male,France,France,Rugby Sevens,Men
2024-07-27,Gold Medal,1,BARRAQUE Jean Pascal,Male,France,France,Rugby Sevens,Men
2024-07-27,Gold Medal,1,DUPONT Antoine,Male,France,France,Rugby Sevens,Men
2024-07-27,Gold Medal,1,SEPHO Jordan,Male,France,France,Rugby Sevens,Men
2024-07-27,Gold Medal,1,EPEE Nelson,Male,France,France,Rugby Sevens,Men
2024-07-27,Silver Medal,2,NASOVA Joji,Male,Fiji,Fiji,Rugby Sevens,Men
2024-07-27,Silver Medal,2,TALACOLO Joseva,Male,Fiji,Fiji,Rugby Sevens,Men
2024-07-27,Silver Medal,2,MATANA Jeremaia,Male,Fiji,Fiji,Rugby Sevens,Men
2024-07-27,Silver Medal,2,MOCENACAGI Sevuloni,Male,Fiji,Fiji,Rugby Sevens,Men
2024-07-27,Silver Medal,2,BALEIWAIRIKI Iosefo,Male,Fiji,Fiji,Rugby Sevens,Men
2024-07-27,Silver Medal,2,LOGANIMASI Ponipate,Male,Fiji,Fiji,Rugby Sevens,Men
2024-07-27,Silver Medal,2,VEILAWA Terio Tamani,Male,Fiji,Fiji,Rugby Sevens,Men
