Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/usabasketball/status/1821667752739996061,USA Basketball,https://twitter.com/usabasketball,2024-08-08,Olympic Legends. #USABMNT #Paris2024 #Basketball,https://pbs.twimg.com/media/GUfcvY8bYAA0fD6?format=jpg&name=small,https://twitter.com/usabasketball/status/1821667752739996061,False,241,7.6K,52K,3.2M
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/canlesofficial/status/1821093676556112048/,Canles,https://twitter.com/canlesofficial,,"We've created footwear that not only feels incredible but also improves your overall well-being. Our shoes offer exceptional flexibility, a close-to-ground feel and ample toe space, allowing your feet to move freely and naturally.",,https://twitter.com/canlesofficial/status/1821093676556112048/,True,,,2,32K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/Olympics/status/1821643768048627926,The Olympic GamesReload,https://twitter.com/Olympics,2024-08-08,#OLYMPICRECORD FOR RIZKI JUNIANSYAH! @iwfnet | #Weightlifting | #Paris2024 | #OMEGA | #OMEGAOfficialTimekeeper,,https://twitter.com/Olympics/status/1821643768048627926,False,201,9.3K,14K,377K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/FIBA/status/1821660585047507285,FIBA,https://twitter.com/FIBA,,Everyone is watching the ball. Except for him.#Paris2024 x #Basketball,https://pbs.twimg.com/media/GUfWSPCXcAAWmGV?format=jpg&name=small,https://twitter.com/FIBA/status/1821660585047507285,False,93,2.8K,14K,388K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/WorldAthletics/status/1821642272339062973,World Athletics,https://twitter.com/WorldAthletics,2024-08-08,Men's javelin throw final was BIG  92.97m OR Arshad Nadeem   89.45m @Neeraj_chopra1   88.54m Anderson Peters  #Paris2024 #Olympics,https://pbs.twimg.com/media/GUfFbVIXgAAVYza?format=jpg&name=small,https://twitter.com/WorldAthletics/status/1821642272339062973,False,133,2K,11K,205K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/usabasketball/status/1821655924056244504,USA Basketball,https://twitter.com/usabasketball,2024-08-08,WHAT A TIME TO BE ALIVE.  #USABMNT #Paris2024 #Basketball,https://pbs.twimg.com/media/GUfSJP7aUAATuB1?format=jpg&name=360x360;https://pbs.twimg.com/media/GUfSKPma8AAk3Jk?format=jpg&name=small,https://twitter.com/usabasketball/status/1821655924056244504,False,204,4.6K,29K,925K
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/NBCOlympics/status/1821284899392803205,NBC Olympics & ParalympicsReload,https://twitter.com/NBCOlympics,2024-08-07,Quincy Hall’s effort down the stretch to win Olympic gold deserves its own medal.  #ParisOlympics,,https://twitter.com/NBCOlympics/status/1821284899392803205,False,327,3K,23K,2.2M
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/NBCOlympics/status/1821630990659313839,NBC Olympics & ParalympicsReload,https://twitter.com/NBCOlympics,2024-08-08,There’s NO catching Sydney McLaughlin-Levrone!She adds ANOTHER 400m hurdles gold medal and WORLD RECORD to her collection. #ParisOlympics,,https://twitter.com/NBCOlympics/status/1821630990659313839,False,285,6.3K,22K,1.5M
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/NBCOlympics/status/1821734620510982521,NBC Olympics & ParalympicsReload,https://twitter.com/NBCOlympics,2024-08-09,Sydney McLaughlin-Levrone breaks the world record and wins back-to-back golds in the women’s 400m hurdles for team USA! #ParisOlympics,,https://twitter.com/NBCOlympics/status/1821734620510982521,False,25,175,646648,48K50K
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/travismillerx13/status/1821654463029112900,Travis Miller,https://twitter.com/travismillerx13,2024-08-08,For everyone wondering what the track and field Olympic medal count looks like  #ParisOlympics,https://pbs.twimg.com/media/GUfQi0cWUAE3Hml?format=jpg&name=small,https://twitter.com/travismillerx13/status/1821654463029112900,False,156,3.4K,20K,876K
