Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/Mapasexy/status/1821618461136552037,Mapaseka MakhanyaReload,https://twitter.com/Mapasexy,2024-08-08,He Said #Olympics2024,,https://twitter.com/Mapasexy/status/1821618461136552037,False,27,773,1.3K,62K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/malinga_ninety9/status/1821637492497641757,Lasith Malinga,https://twitter.com/malinga_ninety9,2024-08-08,A huge applause to Arshad Nadeem and Neeraj Chopra for bringing goldand silver medals in the men’s Javelin throw at the 2024 Olympics to South Asia.Your incredible achievements make the entire region proud!#ArashadNadeem #NeerajChopra #Olympics2024,,https://twitter.com/malinga_ninety9/status/1821637492497641757,False,233,1.9K,15K,175K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/Dee1music/status/1821650681041732085,Dee-1,https://twitter.com/Dee1music,2024-08-08,"Yoooo @StephenCurry30 just took the whole game over!!!!!  #Olympics2024 Man, that was epic to watch.",,https://twitter.com/Dee1music/status/1821650681041732085,False,1,3,9,148
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/MuzalaSamukonga/status/1821617904590475540,Muzala Samukonga,https://twitter.com/MuzalaSamukonga,2024-08-08,"ZAMBIA KU CHALO Thank you very much heavenly father, I'll forever be grateful. #ZambiaKuChalo #TeamYatu #goldenmoments #olympics2024 #Paris2024 #MULUNGU_PASOGOLO #muzalasamukonga",https://pbs.twimg.com/media/GUev1F8WYAA2jYD?format=jpg&name=small;https://pbs.twimg.com/media/GUev1DnXEAEZLru?format=jpg&name=360x360;https://pbs.twimg.com/media/GUev1GjWQAEP1zi?format=jpg&name=360x360,https://twitter.com/MuzalaSamukonga/status/1821617904590475540,False,29,264,1.1K,11K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/FakharZamanLive/status/1821642916747423745,Fakhar Zaman,https://twitter.com/FakharZamanLive,2024-08-08,Congratulations Arshad Nadeem on your Olympic gold win! Pakistan is beaming with pride thanks to your incredible achievement!  #Olympics2024,https://pbs.twimg.com/media/GUfGkxKXIAEsn5y?format=jpg&name=small;https://pbs.twimg.com/media/GUfGkxKWQAMTueq?format=jpg&name=small,https://twitter.com/FakharZamanLive/status/1821642916747423745,False,63,296,2.9K,17K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/gondo_nicole/status/1821620734931919120,Nicole GReload,https://twitter.com/gondo_nicole,2024-08-08,This was an African competition. Well done Africans   #olympics2024,,https://twitter.com/gondo_nicole/status/1821620734931919120,False,,,1,122
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/LanceUlanoff/status/1820188272355631159,Lance UlanoffReload,https://twitter.com/LanceUlanoff,2024-08-04,Wow. Just wow. Noah Lyles wins by microns. #olympics2024,https://pbs.twimg.com/media/GUKbi3pWAAAf-qt?format=jpg&name=360x360;https://pbs.twimg.com/media/GUKbi3nWEAE8JAB?format=jpg&name=360x360,https://twitter.com/LanceUlanoff/status/1820188272355631159,False,1,4,19,39K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/malinga_ninety9/status/1821637492497641757,Lasith Malinga,https://twitter.com/malinga_ninety9,2024-08-08,A huge applause to Arshad Nadeem and Neeraj Chopra for bringing goldand silver medals in the men’s Javelin throw at the 2024 Olympics to South Asia.Your incredible achievements make the entire region proud!#ArashadNadeem #NeerajChopra #Olympics2024,,https://twitter.com/malinga_ninety9/status/1821637492497641757,False,233,1.9K,15K,176K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/tumisole/status/1821644491565982066,Tumi SoleReload,https://twitter.com/tumisole,2024-08-08,Now that’s wassup! #Olympics #Olympics2024 #Paris2024 #RunningWithTumiSole,,https://twitter.com/tumisole/status/1821644491565982066,False,18,26,66,7.3K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/markkali1970/status/1821546189977976865,markkali1970 Reload,https://twitter.com/markkali1970,2024-08-08,Welp looks like the goaltender for Spain’s women’s water polo team is about to become a meme… #Spain #WaterPolo #Paris2024 #Olympics #Olympics2024,,https://twitter.com/markkali1970/status/1821546189977976865,False,,1,7,1.5K
