Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/WorldAthletics/status/1821615757022916866,World Athletics,https://twitter.com/WorldAthletics,2024-08-08,LETSILE TEBOGO IS THE OLYMPIC 200M CHAMP 's Letsile Tebogo powers to the gold with a 19.46 AREA RECORD #Paris2024 #Olympics,https://pbs.twimg.com/media/GUetaH6XcAAb0bU?format=jpg&name=small,https://twitter.com/WorldAthletics/status/1821615757022916866,False,869,13K,37K,1.5M
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/canlesofficial/status/1821093676556112048/,Canles,https://twitter.com/canlesofficial,,"We've created footwear that not only feels incredible but also improves your overall well-being. Our shoes offer exceptional flexibility, a close-to-ground feel and ample toe space, allowing your feet to move freely and naturally.",,https://twitter.com/canlesofficial/status/1821093676556112048/,True,,,2,29K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/usabasketball/status/1821667752739996061,USA Basketball,https://twitter.com/usabasketball,2024-08-08,Olympic Legends. #USABMNT #Paris2024 #Basketball,https://pbs.twimg.com/media/GUfcvY8bYAA0fD6?format=jpg&name=small,https://twitter.com/usabasketball/status/1821667752739996061,False,142,4.7K,32K,663K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/usabasketball/status/1821655924056244504,USA Basketball,https://twitter.com/usabasketball,2024-08-08,WHAT A TIME TO BE ALIVE.  #USABMNT #Paris2024 #Basketball,https://pbs.twimg.com/media/GUfSJP7aUAATuB1?format=jpg&name=360x360;https://pbs.twimg.com/media/GUfSKPma8AAk3Jk?format=jpg&name=small,https://twitter.com/usabasketball/status/1821655924056244504,False,149,3K,17K,451K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/FIBA/status/1821660585047507285,FIBA,https://twitter.com/FIBA,,Everyone is watching the ball. Except for him.#Paris2024 x #Basketball,https://pbs.twimg.com/media/GUfWSPCXcAAWmGV?format=jpg&name=small,https://twitter.com/FIBA/status/1821660585047507285,False,69,1.7K,8.2K,207K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/SuperSportTV/status/1821619638964248860,SuperSport ,https://twitter.com/SuperSportTV,2024-08-08,Letsile Tebogo puts Botswana on top of the world  Stream #Paris2024 live: https://tinyurl.com/4wrtdwtb  #CloserToYourChampions,,https://twitter.com/SuperSportTV/status/1821619638964248860,False,98,1.8K,4.4K,143K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/Mapasexy/status/1821618461136552037,Mapaseka MakhanyaReload,https://twitter.com/Mapasexy,2024-08-08,He Said #Olympics2024,,https://twitter.com/Mapasexy/status/1821618461136552037,False,31,929,1.7K,83K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/malinga_ninety9/status/1821637492497641757,Lasith Malinga,https://twitter.com/malinga_ninety9,2024-08-08,A huge applause to Arshad Nadeem and Neeraj Chopra for bringing goldand silver medals in the men’s Javelin throw at the 2024 Olympics to South Asia.Your incredible achievements make the entire region proud!#ArashadNadeem #NeerajChopra #Olympics2024,,https://twitter.com/malinga_ninety9/status/1821637492497641757,False,259,2.5K,20K,289K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/markkali1970/status/1821546189977976865,markkali1970 ,https://twitter.com/markkali1970,2024-08-08,Welp looks like the goaltender for Spain’s women’s water polo team is about to become a meme… #Spain #WaterPolo #Paris2024 #Olympics #Olympics2024,,https://twitter.com/markkali1970/status/1821546189977976865,False,,1,8,1.9K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/FIBA/status/1821651275794334007,FIBA,https://twitter.com/FIBA,2024-08-08,This was some generational cooking #Paris2024 x #Basketball,https://pbs.twimg.com/media/GUfNiF1WgAEJqX0?format=jpg&name=small,https://twitter.com/FIBA/status/1821651275794334007,False,106,2.7K,13K,259K
