Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/WorldAthletics/status/1821615757022916866,World Athletics,https://twitter.com/WorldAthletics,2024-08-08,LETSILE TEBOGO IS THE OLYMPIC 200M CHAMP 's Letsile Tebogo powers to the gold with a 19.46 AREA RECORD #Paris2024 #Olympics,https://pbs.twimg.com/media/GUetaH6XcAAb0bU?format=jpg&name=small,https://twitter.com/WorldAthletics/status/1821615757022916866,False,839,13K,36K,1.4M
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/canlesofficial/status/1821095080184217988/,Canles,https://twitter.com/canlesofficial,,"Break Free from Traditional Footwear!Our barefoot shoes designed to mimic the natural movement of your feet, they promote better posture, stronger foot muscles, and reduced foot pain. From casual strolls to epic adventures, our shoes have got you covered.",,https://twitter.com/canlesofficial/status/1821095080184217988/,True,2,,4,28K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/SuperSportTV/status/1821619638964248860,SuperSport ,https://twitter.com/SuperSportTV,2024-08-08,Letsile Tebogo puts Botswana on top of the world  Stream #Paris2024 live: https://tinyurl.com/4wrtdwtb  #CloserToYourChampions,,https://twitter.com/SuperSportTV/status/1821619638964248860,False,95,1.7K,4.1K,130K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/WorldAthletics/status/1821617006921359526,World Athletics,https://twitter.com/WorldAthletics,2024-08-08,The first ever gold medal for Botswana in the history of the OLYMPICS.Letsile Tebogo just did that 19.46 AREA RECORD in the men's 200m final #Paris2024 #OlympicGames,https://pbs.twimg.com/media/GUeusN0WQAA-cV-?format=jpg&name=small,https://twitter.com/WorldAthletics/status/1821617006921359526,False,311,4.4K,15K,591K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/usabasketball/status/1821652113308647425,USA Basketball,https://twitter.com/usabasketball,2024-08-08,Name a more iconic duo. #USABMNT #Paris2024 #Basketball,https://pbs.twimg.com/media/GUfO6GZa8AEkv9k?format=jpg&name=small,https://twitter.com/usabasketball/status/1821652113308647425,False,275,2.2K,12K,407K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/WorldAthletics/status/1821642272339062973,World Athletics,https://twitter.com/WorldAthletics,2024-08-08,Men's javelin throw final was BIG  92.97m OR Arshad Nadeem   89.45m @Neeraj_chopra1   88.54m Anderson Peters  #Paris2024 #Olympics,https://pbs.twimg.com/media/GUfFbVIXgAAVYza?format=jpg&name=small,https://twitter.com/WorldAthletics/status/1821642272339062973,False,86,1.2K,5.9K,100K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/WorldAthletics/status/1821617006921359526,World Athletics,https://twitter.com/WorldAthletics,2024-08-08,The first ever gold medal for Botswana in the history of the OLYMPICS.Letsile Tebogo just did that 19.46 AREA RECORD in the men's 200m final #Paris2024 #OlympicGames,https://pbs.twimg.com/media/GUeusN0WQAA-cV-?format=jpg&name=small,https://twitter.com/WorldAthletics/status/1821617006921359526,False,311,4.4K,15K,592K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/usabasketball/status/1821652113308647425,USA Basketball,https://twitter.com/usabasketball,2024-08-08,Name a more iconic duo. #USABMNT #Paris2024 #Basketball,https://pbs.twimg.com/media/GUfO6GZa8AEkv9k?format=jpg&name=small,https://twitter.com/usabasketball/status/1821652113308647425,False,276,2.2K,12K,407K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/karma_shopping/status/1821163281127506208/,Karma Shopping,https://twitter.com/karma_shopping,,"Why Is Everyone Saving Big on Flights, And You're Not?",https://pbs.twimg.com/media/GUYPatbXkAAm_4U?format=png&name=240x240;https://pbs.twimg.com/media/GUYPXAuWwAI9cCR?format=png&name=240x240,https://twitter.com/karma_shopping/status/1821163281127506208/,True,6,3,66,75K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/NBA/status/1821651119652921700,NBA,https://twitter.com/NBA,2024-08-08,Scoring the FINAL 13 POINTS for USA to complete their #Paris2024 Semifinals comeback...Steph. Bron. KD.,https://pbs.twimg.com/media/GUfNew8XUAAUADs?format=jpg&name=small,https://twitter.com/NBA/status/1821651119652921700,False,350,5.2K,25K,848K
