Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/NBCOlympics/status/1821630990659313839,NBC Olympics & ParalympicsReload,https://twitter.com/NBCOlympics,2024-08-08,There’s NO catching Sydney McLaughlin-Levrone!She adds ANOTHER 400m hurdles gold medal and WORLD RECORD to her collection. #ParisOlympics,,https://twitter.com/NBCOlympics/status/1821630990659313839,False,273,6.1K,21K,1.3M
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/NBCOlympics/status/1821640565785563588,NBC Olympics & ParalympicsReload,https://twitter.com/NBCOlympics,2024-08-08,The jump that won Tara Davis-Woodhall her FIRST Olympic long jump GOLD MEDAL.  #ParisOlympics,,https://twitter.com/NBCOlympics/status/1821640565785563588,False,39,1.2K,10K,392K
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/travismillerx13/status/1821654463029112900,Travis Miller,https://twitter.com/travismillerx13,2024-08-08,For everyone wondering what the track and field Olympic medal count looks like  #ParisOlympics,https://pbs.twimg.com/media/GUfQi0cWUAE3Hml?format=jpg&name=small,https://twitter.com/travismillerx13/status/1821654463029112900,False,122,2.9K,16K,644K
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/NBCOlympics/status/1821284899392803205,NBC Olympics & ParalympicsReload,https://twitter.com/NBCOlympics,2024-08-07,Quincy Hall’s effort down the stretch to win Olympic gold deserves its own medal.  #ParisOlympics,,https://twitter.com/NBCOlympics/status/1821284899392803205,False,317,2.9K,22K,2.1M
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/NBCOlympics/status/1821630080638238869,NBC Olympics & Paralympics,https://twitter.com/NBCOlympics,,"Take a bow, Tara Davis-Woodhall!She is an Olympic Champion for the first time! #ParisOlympics",https://pbs.twimg.com/media/GUe6d6JXoAAu0tB?format=jpg&name=small,https://twitter.com/NBCOlympics/status/1821630080638238869,False,68,2.6K,13K,268K
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/OnHerTurf/status/1821628996137697525,On Her TurfReload,https://twitter.com/OnHerTurf,2024-08-08,TARA DAVIS-WOODHALL IS AN OLYMPIC CHAMPION! #ParisOlympics,,https://twitter.com/OnHerTurf/status/1821628996137697525,False,15,1.2K,8.6K,262K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/Mapasexy/status/1821618461136552037,Mapaseka MakhanyaReload,https://twitter.com/Mapasexy,2024-08-08,He Said #Olympics2024,,https://twitter.com/Mapasexy/status/1821618461136552037,False,31,938,1.8K,86K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/malinga_ninety9/status/1821637492497641757,Lasith Malinga,https://twitter.com/malinga_ninety9,2024-08-08,A huge applause to Arshad Nadeem and Neeraj Chopra for bringing goldand silver medals in the men’s Javelin throw at the 2024 Olympics to South Asia.Your incredible achievements make the entire region proud!#ArashadNadeem #NeerajChopra #Olympics2024,,https://twitter.com/malinga_ninety9/status/1821637492497641757,False,261,2.6K,21K,310K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/LanceUlanoff/status/1820188272355631159,Lance UlanoffReload,https://twitter.com/LanceUlanoff,2024-08-04,Wow. Just wow. Noah Lyles wins by microns. #olympics2024,https://pbs.twimg.com/media/GUKbi3pWAAAf-qt?format=jpg&name=360x360;https://pbs.twimg.com/media/GUKbi3nWEAE8JAB?format=jpg&name=360x360,https://twitter.com/LanceUlanoff/status/1820188272355631159,False,1,4,19,44K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/tumisole/status/1821644491565982066,Tumi SoleReload,https://twitter.com/tumisole,2024-08-08,Now that’s wassup! #Olympics #Olympics2024 #Paris2024 #RunningWithTumiSole,,https://twitter.com/tumisole/status/1821644491565982066,False,41,123,386,36K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/usabasketball/status/1821667752739996061,USA Basketball,https://twitter.com/usabasketball,2024-08-08,Olympic Legends. #USABMNT #Paris2024 #Basketball,https://pbs.twimg.com/media/GUfcvY8bYAA0fD6?format=jpg&name=small,https://twitter.com/usabasketball/status/1821667752739996061,False,178,6.2K,42K,1.3M
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/canlesofficial/status/1821093676556112048/,Canles,https://twitter.com/canlesofficial,,"We've created footwear that not only feels incredible but also improves your overall well-being. Our shoes offer exceptional flexibility, a close-to-ground feel and ample toe space, allowing your feet to move freely and naturally.",,https://twitter.com/canlesofficial/status/1821093676556112048/,True,,,2,30K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/usabasketball/status/1821655924056244504,USA Basketball,https://twitter.com/usabasketball,2024-08-08,WHAT A TIME TO BE ALIVE.  #USABMNT #Paris2024 #Basketball,https://pbs.twimg.com/media/GUfSJP7aUAATuB1?format=jpg&name=360x360;https://pbs.twimg.com/media/GUfSKPma8AAk3Jk?format=jpg&name=small,https://twitter.com/usabasketball/status/1821655924056244504,False,168,3.5K,21K,587K
